batch_id,index_name,batch_size,qid,nthreads,curr_nlist,nlist,niter,seed,nprobe,cummulative_time_ms_mean,total_ms_mean,overhead_ms_mean,search_time_ms_mean,crack_time_ms_mean,refine_time_ms_mean,get_local_region_time_ms_mean,reorg_time_ms_mean,inner_point_assignments_ms_mean,update_invlists_ms_mean,metadata_tracking_time_mean,nruns,recall_1_perQ,recall_10_perQ,recall_100_perQ
1,CrackIVF,16,0,16,100,100,10,42,99999,5975.5969470134005,155.07035999326035,7.5233659881632775,147.54699400509708,0.0,0.00031999661587178707,0.0,0.0,0.0,0.0,7.444805989507586,1,0.875,0.90625,0.88625
2,CrackIVF,16,16,16,100,100,10,42,99999,6152.1813310391735,176.58438402577303,4.976315016392618,171.60806900938042,0.0,0.0003099848981946707,0.0,0.0,0.0,0.0,4.951835027895868,1,1.0,0.94375,0.903125
3,CrackIVF,16,32,16,100,100,10,42,99999,6209.825893049128,57.644562009954825,4.648895002901554,52.99566700705327,0.0,0.00029001967050135136,0.0,0.0,0.0,0.0,4.63772498187609,1,1.0,0.98125,0.969375
4,CrackIVF,16,48,16,100,100,10,42,99999,6331.0712380334735,121.24534498434514,4.208297003060579,117.03704798128456,0.0,0.0002500019036233425,0.0,0.0,0.0,0.0,4.202087002340704,1,0.9375,0.9625,0.92
5,CrackIVF,16,64,16,100,100,10,42,99999,6403.979042021092,72.90780398761854,4.120606987271458,68.78719700034708,0.0,0.0002890010364353657,0.0,0.0,0.0,0.0,4.1152370104100555,1,1.0,0.96875,0.949375
6,CrackIVF,16,80,16,100,100,10,42,99999,6464.597845013486,60.618802992394194,3.978038002969697,56.6407649894245,0.0,0.0002599845174700022,0.0,0.0,0.0,0.0,3.9732480072416365,1,0.875,0.95,0.911875
7,CrackIVF,16,96,16,100,100,10,42,99999,6531.110609008465,66.51276399497874,3.9932579966261983,62.51950599835254,0.0,0.00028000795282423496,0.0,0.0,0.0,0.0,3.988857992226258,1,1.0,0.95,0.884375
8,CrackIVF,16,112,16,100,100,10,42,99999,6596.407167002326,65.29655799386092,3.947197983507067,61.34936001035385,0.0,0.0002700253389775753,0.0,0.0,0.0,0.0,3.9432579942513257,1,0.9375,0.925,0.87875
9,CrackIVF,16,128,16,100,100,10,42,99999,6666.167800984113,69.76063398178667,3.850228007650003,65.91040597413667,0.0,0.00026999623514711857,0.0,0.0,0.0,0.0,3.8464480021502823,1,0.9375,0.9625,0.94625
10,CrackIVF,16,144,16,100,100,10,42,99999,6734.35199999949,68.18419901537709,3.8323980115819722,64.35180100379512,0.0,0.0002500019036233425,0.0,0.0,0.0,0.0,3.828527987934649,1,0.875,0.96875,0.93625
11,CrackIVF,16,160,16,100,100,10,42,99999,6788.988501008134,54.6365010086447,3.8883379893377423,50.74816301930696,0.0,0.00023999018594622612,0.0,0.0,0.0,0.0,3.8842380163259804,1,1.0,0.94375,0.928125
12,CrackIVF,16,176,16,100,100,10,42,99999,6848.852416005684,59.86391499754973,4.090578004252166,55.77333699329756,0.0,0.0002899905666708946,0.0,0.0,0.0,0.0,4.079987993463874,1,1.0,0.96875,0.913125
13,CrackIVF,16,192,16,100,100,10,42,99999,6903.710706013953,54.85829000826925,3.807219007285312,51.05107100098394,0.0,0.000480009475722909,0.0,0.0,0.0,0.0,3.802548977546394,1,0.9375,0.94375,0.901875
