batch_id,index_name,batch_size,qid,nthreads,curr_nlist,nlist,niter,seed,nprobe,cummulative_time_ms_mean,total_ms_mean,overhead_ms_mean,search_time_ms_mean,crack_time_ms_mean,refine_time_ms_mean,get_local_region_time_ms_mean,reorg_time_ms_mean,inner_point_assignments_ms_mean,update_invlists_ms_mean,metadata_tracking_time_mean,nruns,recall_1_perQ,recall_10_perQ,recall_100_perQ
1,CrackIVF,16,0,16,100,100,10,42,99999,344.0798239898868,7.738092012004927,5.788303998997435,1.9497880130074918,0.0,0.00034002005122601986,0.0,0.0,0.0,0.0,5.604274017969146,1,0.875,0.86875,0.840625
2,CrackIVF,16,16,16,100,100,10,42,99999,350.00897699501365,5.929153005126864,4.3110249971505255,1.6181280079763383,0.0,0.00021999585442245007,0.0,0.0,0.0,0.0,4.306774993892759,1,1.0,0.90625,0.90875
3,CrackIVF,16,32,16,100,100,10,42,99999,355.98329998902045,5.974322994006798,4.207624995615333,1.7666979983914644,0.0,0.0004199973773211241,0.0,0.0,0.0,0.0,4.203525022603571,1,0.875,0.9375,0.91625
4,CrackIVF,16,48,16,100,100,10,42,99999,361.9487329851836,5.965432996163145,4.127794993110001,1.8376380030531436,0.0,0.0002500019036233425,0.0,0.0,0.0,0.0,4.124394996324554,1,0.9375,0.9375,0.891875
5,CrackIVF,16,64,16,100,100,10,42,99999,367.6441769639496,5.695443978765979,4.043275985168293,1.6521679935976863,0.0,0.00023999018594622612,0.0,0.0,0.0,0.0,4.039905994432047,1,0.9375,0.86875,0.8575
6,CrackIVF,16,80,16,100,100,10,42,99999,373.3094909694046,5.665314005455002,4.009465017588809,1.655848987866193,0.0,0.00018900027498602867,0.0,0.0,0.0,0.0,4.006105998996645,1,0.9375,0.84375,0.80375
7,CrackIVF,16,96,16,100,100,10,42,99999,379.04735395568423,5.7378629862796515,4.024094989290461,1.7137679969891906,0.0,0.00018998980522155762,0.0,0.0,0.0,0.0,4.020784981548786,1,0.875,0.8875,0.8425
8,CrackIVF,16,112,16,100,100,10,42,99999,384.6127389697358,5.5653850140515715,3.9511460054200143,1.6142390086315572,0.0,0.00018000719137489796,0.0,0.0,0.0,0.0,3.9461760025005788,1,1.0,0.9,0.808125
9,CrackIVF,16,128,16,100,100,10,42,99999,390.4449029651005,5.832163995364681,3.876165981637314,1.955998013727367,0.0,0.00019001890905201435,0.0,0.0,0.0,0.0,3.873195993946865,1,0.875,0.84375,0.834375
10,CrackIVF,16,144,16,100,100,10,42,99999,395.96229695598595,5.517393990885466,3.842815989628434,1.6745780012570322,0.0,0.00021999585442245007,0.0,0.0,0.0,0.0,3.839596000034362,1,1.0,0.93125,0.918125
11,CrackIVF,16,160,16,100,100,10,42,99999,401.7259609536268,5.763663997640833,3.8298459840007126,1.9338180136401206,0.0,0.00018000719137489796,0.0,0.0,0.0,0.0,3.82672599516809,1,0.75,0.8125,0.775625
12,CrackIVF,16,176,16,100,100,10,42,99999,407.18343495973386,5.457474006107077,3.790296002989635,1.6671780031174421,0.0,0.00017101410776376724,0.0,0.0,0.0,0.0,3.7869959778618068,1,0.875,0.85625,0.836875
13,CrackIVF,16,192,16,100,100,10,42,99999,413.1381479674019,5.954713007668033,3.946885990444571,2.0078270172234625,0.0,0.000200001522898674,0.0,0.0,0.0,0.0,3.9438760140910745,1,1.0,0.93125,0.87375
14,CrackIVF,16,208,16,100,100,10,42,99999,418.99127198848873,5.853124021086842,3.7916660076007247,2.061458013486117,0.0,0.00021999585442245007,0.0,0.0,0.0,0.0,3.788175992667675,1,0.75,0.80625,0.77875
15,CrackIVF,16,224,16,100,100,10,42,99999,424.70206596772186,5.710793979233131,3.893285000231117,1.8175089790020138,0.0,0.000200001522898674,0.0,0.0,0.0,0.0,3.890114981913939,1,0.8125,0.86875,0.854375
16,CrackIVF,16,240,16,100,100,10,42,99999,430.41515999357216,5.713094025850296,3.8444660021923482,1.8686280236579478,0.0,0.00018998980522155762,0.0,0.0,0.0,0.0,3.8412660069298,1,1.0,0.94375,0.92
17,CrackIVF,16,256,16,100,100,10,42,99999,436.1001139914151,5.6849539978429675,3.786896006204188,1.8980579916387796,0.0,0.00020899460650980473,0.0,0.0,0.0,0.0,3.783575986744836,1,1.0,0.8625,0.856875
18,CrackIVF,16,272,16,100,100,10,42,99999,441.809456970077,5.70934297866188,3.8013260054867715,1.9080169731751084,0.0,0.00019997241906821728,0.0,0.0,0.0,0.0,3.7980860215611756,1,0.9375,0.93125,0.90875
19,CrackIVF,16,288,16,100,100,10,42,99999,447.4955409823451,5.686084012268111,3.8406160019803792,1.8454680102877319,0.0,0.000200001522898674,0.0,0.0,0.0,0.0,3.8373460120055825,1,0.875,0.79375,0.771875
20,CrackIVF,16,304,16,100,100,10,42,99999,454.2130129702855,6.717471987940371,4.24411499989219,2.473356988048181,0.0,0.0002100132405757904,0.0,0.0,0.0,0.0,4.240575013682246,1,0.8125,0.86875,0.88125
21,CrackIVF,16,320,16,100,100,10,42,99999,460.37379596964456,6.160782999359071,3.8094860210549086,2.3512969783041626,0.0,0.00017997808754444122,0.0,0.0,0.0,0.0,3.8060760125517845,1,0.9375,0.8625,0.8625
22,CrackIVF,16,336,16,100,100,10,42,99999,465.88665997842327,5.512864008778706,3.788186004385352,1.724678004393354,0.0,0.000200001522898674,0.0,0.0,0.0,0.0,3.7848759966436774,1,0.9375,0.90625,0.844375
23,CrackIVF,16,352,16,100,100,10,42,99999,471.3616339722648,5.474973993841559,3.7892060063313693,1.6857679875101894,0.0,0.00018000719137489796,0.0,0.0,0.0,0.0,3.786075976677239,1,0.9375,0.90625,0.838125
24,CrackIVF,16,368,16,100,100,10,42,99999,477.15113798039965,5.789504008134827,3.861976001644507,1.92752800649032,0.0,0.000200001522898674,0.0,0.0,0.0,0.0,3.858595999190584,1,0.875,0.8875,0.823125
25,CrackIVF,16,384,16,100,100,10,42,99999,482.7255319978576,5.574394017457962,3.844106016913429,1.7302880005445331,0.0,0.00021999585442245007,0.0,0.0,0.0,0.0,3.840816003503278,1,0.9375,0.95,0.87625
26,CrackIVF,16,400,16,100,100,10,42,99999,488.2700350135565,5.544503015698865,3.753575001610443,1.790928014088422,0.0,0.00018998980522155762,0.0,0.0,0.0,0.0,3.750125993974507,1,1.0,0.925,0.885
27,CrackIVF,16,416,16,100,100,10,42,99999,494.19344900525175,5.92341399169527,3.815606003627181,2.107807988068089,0.0,0.00018000719137489796,0.0,0.0,0.0,0.0,3.812455979641527,1,1.0,0.93125,0.87125
28,CrackIVF,16,432,16,100,100,10,42,99999,499.68076299410313,5.487313988851383,3.7832160014659166,1.7040979873854667,0.0,0.00021100277081131935,0.0,0.0,0.0,0.0,3.7796849792357534,1,1.0,0.90625,0.851875
29,CrackIVF,16,448,16,100,100,10,42,99999,505.44647697824985,5.765713984146714,3.8146159786265343,1.9510980055201799,0.0,0.00018900027498602867,0.0,0.0,0.0,0.0,3.8114449998829514,1,0.875,0.86875,0.79875
30,CrackIVF,16,464,16,100,100,10,42,99999,511.0279309737962,5.581453995546326,3.8193259970285,1.7621279985178262,0.0,0.0002100132405757904,0.0,0.0,0.0,0.0,3.815895994193852,1,0.875,0.86875,0.840625
31,CrackIVF,16,480,16,100,100,10,42,99999,517.1397839731071,6.1118529993109405,3.7718460080213845,2.340006991289556,0.0,0.00019001890905201435,0.0,0.0,0.0,0.0,3.7686860014218837,1,0.9375,0.89375,0.824375
32,CrackIVF,16,496,16,100,100,10,42,99999,523.1894869939424,6.049703020835295,3.791436000028625,2.25826702080667,0.0,0.000200001522898674,0.0,0.0,0.0,0.0,3.787845984334126,1,1.0,0.875,0.826875
33,CrackIVF,16,512,16,100,100,10,42,99999,528.9942199888173,5.804732994874939,3.8545549905393273,1.950178004335612,0.0,0.00018998980522155762,0.0,0.0,0.0,0.0,3.8513060135301203,1,1.0,0.93125,0.888125
34,CrackIVF,16,528,16,100,100,10,42,99999,534.7602529800497,5.7660329912323505,3.8039250066503882,1.9621079845819622,0.0,0.000200001522898674,0.0,0.0,0.0,0.0,3.8007850234862417,1,0.875,0.875,0.8525
35,CrackIVF,16,544,16,100,100,10,42,99999,540.4718259815127,5.711573001462966,3.7498860037885606,1.9616869976744056,0.0,0.000200001522898674,0.0,0.0,0.0,0.0,3.7466860085260123,1,0.875,0.88125,0.84375
36,CrackIVF,16,560,16,100,100,10,42,99999,546.4873889868613,6.0155630053486675,3.8619850238319486,2.153577981516719,0.0,0.00018000719137489796,0.0,0.0,0.0,0.0,3.858795011183247,1,0.9375,0.95,0.93
37,CrackIVF,16,576,16,100,100,10,42,99999,552.1287829906214,5.64139400376007,3.829475987004116,1.8119180167559534,0.0,0.00019001890905201435,0.0,0.0,0.0,0.0,3.826335974736139,1,0.9375,0.94375,0.891875
38,CrackIVF,16,592,16,100,100,10,42,99999,557.7541969832964,5.625413992675021,3.7674560153391212,1.8579579773359,0.0,0.00021999585442245007,0.0,0.0,0.0,0.0,3.76408698502928,1,0.8125,0.84375,0.824375
39,CrackIVF,16,608,16,100,100,10,42,99999,563.5650600015651,5.810863018268719,3.875174996210262,1.9356880220584571,0.0,0.00018998980522155762,0.0,0.0,0.0,0.0,3.872225002851337,1,0.9375,0.88125,0.8175
40,CrackIVF,16,624,16,100,100,10,42,99999,569.4651739904657,5.900113988900557,3.7651360034942627,2.1349779854062945,0.0,0.000200001522898674,0.0,0.0,0.0,0.0,3.7618860078509897,1,1.0,0.95,0.90625
41,CrackIVF,16,640,16,100,100,10,42,99999,575.5987879820168,6.133613991551101,3.8478460046462715,2.2857679869048297,0.0,0.00017997808754444122,0.0,0.0,0.0,0.0,3.844185994239524,1,1.0,0.88125,0.901875
42,CrackIVF,16,656,16,100,100,10,42,99999,581.4482619753107,5.849473993293941,3.6803269758820534,2.1691470174118876,0.0,0.000200001522898674,0.0,0.0,0.0,0.0,3.6770059959962964,1,0.875,0.86875,0.848125
43,CrackIVF,16,672,16,100,100,10,42,99999,587.0911359670572,5.642873991746455,3.8135560171213,1.8293179746251553,0.0,0.00016999547369778156,0.0,0.0,0.0,0.0,3.8103059923741966,1,1.0,0.8375,0.76375
44,CrackIVF,16,688,16,100,100,10,42,99999,592.9113999591209,5.820263992063701,3.76478600082919,2.055477991234511,0.0,0.00017997808754444122,0.0,0.0,0.0,0.0,3.761515981750563,1,1.0,0.96875,0.935
45,CrackIVF,16,704,16,100,100,10,42,99999,598.6499539576471,5.738553998526186,3.8688660133630037,1.869687985163182,0.0,0.00021999585442245007,0.0,0.0,0.0,0.0,3.8655859825666994,1,0.9375,0.9125,0.88625
46,CrackIVF,16,720,16,100,100,10,42,99999,604.39570795279,5.745753995142877,3.772996016778052,1.9727579783648252,0.0,0.00020998413674533367,0.0,0.0,0.0,0.0,3.769656002987176,1,0.8125,0.86875,0.8225
47,CrackIVF,16,736,16,100,100,10,42,99999,609.9373609467875,5.541652993997559,3.7024749908596277,1.8391780031379312,0.0,0.000200001522898674,0.0,0.0,0.0,0.0,3.6990859953220934,1,1.0,0.95,0.89875
48,CrackIVF,16,752,16,100,100,10,42,99999,615.584434941411,5.647073994623497,3.7786159955430776,1.8684579990804195,0.0,0.00018000719137489796,0.0,0.0,0.0,0.0,3.7753060169052333,1,0.875,0.825,0.765
49,CrackIVF,16,768,16,100,100,10,42,99999,621.3844589365181,5.80002399510704,3.76620699535124,2.0338169997557998,0.0,0.00018000719137489796,0.0,0.0,0.0,0.0,3.7632760067936033,1,0.6875,0.84375,0.798125
50,CrackIVF,16,784,16,100,100,10,42,99999,627.1028319606557,5.718373024137691,3.9204860222525895,1.7978870018851012,0.0,0.00017997808754444122,0.0,0.0,0.0,0.0,3.917264984920621,1,0.9375,0.94375,0.91875
51,CrackIVF,16,800,16,100,100,10,42,99999,632.6166659709997,5.513834010343999,3.753396013053134,1.7604379972908646,0.0,0.000200001522898674,0.0,0.0,0.0,0.0,3.750215983018279,1,0.875,0.8125,0.79625
52,CrackIVF,16,816,16,100,100,10,42,99999,638.5927989613265,5.976132990326732,3.7754549994133413,2.200677990913391,0.0,0.000200001522898674,0.0,0.0,0.0,0.0,3.7718449893873185,1,1.0,0.95625,0.9025
53,CrackIVF,16,832,16,100,100,10,42,99999,644.4146129651926,5.821814003866166,3.7571059947367758,2.06470800912939,0.0,0.000200001522898674,0.0,0.0,0.0,0.0,3.7540560006164014,1,0.875,0.85625,0.819375
54,CrackIVF,16,848,16,100,100,10,42,99999,650.0084669678472,5.5938540026545525,3.725966002093628,1.8678880005609244,0.0,0.000200001522898674,0.0,0.0,0.0,0.0,3.7226460117381066,1,0.9375,0.8625,0.825
55,CrackIVF,16,864,16,100,100,10,42,99999,655.8303909841925,5.821924016345292,3.7955059960950166,2.0264180202502757,0.0,0.00017997808754444122,0.0,0.0,0.0,0.0,3.792516014073044,1,0.9375,0.9125,0.869375
