dataset_name,skew,seed,nruns,index_name,nlist,cracks_history,nprobe,niter,add_time,train_time,total_build_time,cracking_overhead_time,total_search_time,total_time,10th_search_time_ms,25th_search_time_ms,median_search_time_ms,mean_search_time_ms,75th_search_time_ms,90th_search_time_ms,99th_search_time_ms,std_search_time_ms,CV_search_time_ms,QPS,recall_1,recall_10,recall_100,nthreads,batch_size,total_num_queries,alpha,min_pts,pts_crack_thr,cv_max,spread_max,size_prcnt_low,size_prcnt_high,run_date,cmd
glove-25-angular,default,42,1,CrackIVF-END,16000,"[100, 10100, 16000]",1,10,,,,,0.18423372361576185,,0.1277842151466757,0.1395980070810765,0.2814690233208239,0.294773957785219,0.40049199014902115,0.5034692003391683,0.7551464322023093,0.16460462670015508,55.8409663923198,54278.879044186375,0.5383,0.43162,0.222756,16,16,10000,0.5,2,64,2,10,10,90,2026-07-20 08:45:13,python run_ours.py --result_path ./results/ --baselines_path ./results/SIFT1M_default_BASELINES/baseline_results.csv --dbname glove-25-angular --skew default --store --target_queries 1000000 --get_qps --clear_results --nruns 1 --seed 42 --nthreads 16 --runid 0 --run_desc 20250227-1M-alpha_0.5-MINPTS_2-Pts2CentThres_64-conv_200-nthread_16 --index_name CrackIVF --topK 100 --niter 10 --nprobe 99999 --nlist 100 --batch_size None --detailed --alpha 0.5 --cv_max 2 --spread_max 10 --size_prcnt_low 10 --size_prcnt_high 90 --min_pts 2 --pts_crack_thr 64
glove-25-angular,default,42,1,CrackIVF-END,16000,"[100, 10100, 16000]",2,10,,,,,0.14987217827001587,,0.12087540817447007,0.1340140006504953,0.14851099695079029,0.23979548523202537,0.3280279925093055,0.45781581429764634,0.7284000760409979,0.14672380002942542,61.18705691537767,66723.5247757832,0.7611,0.62847,0.342274,16,16,10000,0.5,2,64,2,10,10,90,2026-07-20 08:45:14,python run_ours.py --result_path ./results/ --baselines_path ./results/SIFT1M_default_BASELINES/baseline_results.csv --dbname glove-25-angular --skew default --store --target_queries 1000000 --get_qps --clear_results --nruns 1 --seed 42 --nthreads 16 --runid 0 --run_desc 20250227-1M-alpha_0.5-MINPTS_2-Pts2CentThres_64-conv_200-nthread_16 --index_name CrackIVF --topK 100 --niter 10 --nprobe 99999 --nlist 100 --batch_size None --detailed --alpha 0.5 --cv_max 2 --spread_max 10 --size_prcnt_low 10 --size_prcnt_high 90 --min_pts 2 --pts_crack_thr 64
glove-25-angular,default,42,1,CrackIVF-END,16000,"[100, 10100, 16000]",4,10,,,,,0.14731523988302797,,0.12217820039950311,0.13385500642471015,0.14873399049974978,0.23570438381284475,0.3204119857400656,0.47365541104227304,0.7198435196187346,0.1521288722874227,64.542232870907,67881.63945522712,0.8629,0.73226,0.43741,16,16,10000,0.5,2,64,2,10,10,90,2026-07-20 08:45:14,python run_ours.py --result_path ./results/ --baselines_path ./results/SIFT1M_default_BASELINES/baseline_results.csv --dbname glove-25-angular --skew default --store --target_queries 1000000 --get_qps --clear_results --nruns 1 --seed 42 --nthreads 16 --runid 0 --run_desc 20250227-1M-alpha_0.5-MINPTS_2-Pts2CentThres_64-conv_200-nthread_16 --index_name CrackIVF --topK 100 --niter 10 --nprobe 99999 --nlist 100 --batch_size None --detailed --alpha 0.5 --cv_max 2 --spread_max 10 --size_prcnt_low 10 --size_prcnt_high 90 --min_pts 2 --pts_crack_thr 64
glove-25-angular,default,42,1,CrackIVF-END,16000,"[100, 10100, 16000]",8,10,,,,,0.18805129860993475,,0.1547659921925515,0.16212600166909397,0.2582849992904812,0.3008820777758956,0.4120119847357273,0.5110788042657078,0.8890897512901563,0.17455968080573173,58.01597825170168,53176.97922811207,0.9018,0.79054,0.526375,16,16,10000,0.5,2,64,2,10,10,90,2026-07-20 08:45:15,python run_ours.py --result_path ./results/ --baselines_path ./results/SIFT1M_default_BASELINES/baseline_results.csv --dbname glove-25-angular --skew default --store --target_queries 1000000 --get_qps --clear_results --nruns 1 --seed 42 --nthreads 16 --runid 0 --run_desc 20250227-1M-alpha_0.5-MINPTS_2-Pts2CentThres_64-conv_200-nthread_16 --index_name CrackIVF --topK 100 --niter 10 --nprobe 99999 --nlist 100 --batch_size None --detailed --alpha 0.5 --cv_max 2 --spread_max 10 --size_prcnt_low 10 --size_prcnt_high 90 --min_pts 2 --pts_crack_thr 64
glove-25-angular,default,42,1,CrackIVF-END,16000,"[100, 10100, 16000]",16,10,,,,,0.19475290144328028,,0.15133600099943578,0.16425401554442942,0.2705559891182929,0.31160464230924845,0.43197901686653495,0.5429149954579771,0.7326478802133352,0.16291564425722596,52.28280395628452,51347.11691528968,0.924,0.8387,0.618873,16,16,10000,0.5,2,64,2,10,10,90,2026-07-20 08:45:15,python run_ours.py --result_path ./results/ --baselines_path ./results/SIFT1M_default_BASELINES/baseline_results.csv --dbname glove-25-angular --skew default --store --target_queries 1000000 --get_qps --clear_results --nruns 1 --seed 42 --nthreads 16 --runid 0 --run_desc 20250227-1M-alpha_0.5-MINPTS_2-Pts2CentThres_64-conv_200-nthread_16 --index_name CrackIVF --topK 100 --niter 10 --nprobe 99999 --nlist 100 --batch_size None --detailed --alpha 0.5 --cv_max 2 --spread_max 10 --size_prcnt_low 10 --size_prcnt_high 90 --min_pts 2 --pts_crack_thr 64
glove-25-angular,default,42,1,CrackIVF-END,16000,"[100, 10100, 16000]",32,10,,,,,0.3011111612431705,,0.26020180084742606,0.36127600469626486,0.46204199315980077,0.4817778579890728,0.5569860222749412,0.6717935961205512,1.1881014390382914,0.21472818136367589,44.56995642347393,33210.32657412599,0.944,0.8846,0.715386,16,16,10000,0.5,2,64,2,10,10,90,2026-07-20 08:45:16,python run_ours.py --result_path ./results/ --baselines_path ./results/SIFT1M_default_BASELINES/baseline_results.csv --dbname glove-25-angular --skew default --store --target_queries 1000000 --get_qps --clear_results --nruns 1 --seed 42 --nthreads 16 --runid 0 --run_desc 20250227-1M-alpha_0.5-MINPTS_2-Pts2CentThres_64-conv_200-nthread_16 --index_name CrackIVF --topK 100 --niter 10 --nprobe 99999 --nlist 100 --batch_size None --detailed --alpha 0.5 --cv_max 2 --spread_max 10 --size_prcnt_low 10 --size_prcnt_high 90 --min_pts 2 --pts_crack_thr 64
glove-25-angular,default,42,1,CrackIVF-END,16000,"[100, 10100, 16000]",64,10,,,,,0.32308583008125424,,0.3189659968484193,0.4150680033490062,0.5135460232850164,0.5169373281300068,0.5981209978926927,0.6963177991565317,0.9209669241681693,0.15349614266837253,29.69337564064809,30951.527640457203,0.9604,0.92104,0.804393,16,16,10000,0.5,2,64,2,10,10,90,2026-07-20 08:45:16,python run_ours.py --result_path ./results/ --baselines_path ./results/SIFT1M_default_BASELINES/baseline_results.csv --dbname glove-25-angular --skew default --store --target_queries 1000000 --get_qps --clear_results --nruns 1 --seed 42 --nthreads 16 --runid 0 --run_desc 20250227-1M-alpha_0.5-MINPTS_2-Pts2CentThres_64-conv_200-nthread_16 --index_name CrackIVF --topK 100 --niter 10 --nprobe 99999 --nlist 100 --batch_size None --detailed --alpha 0.5 --cv_max 2 --spread_max 10 --size_prcnt_low 10 --size_prcnt_high 90 --min_pts 2 --pts_crack_thr 64
glove-25-angular,default,42,1,CrackIVF-END,16000,"[100, 10100, 16000]",128,10,,,,,0.4445240228960756,,0.4911213938612491,0.5909689934924245,0.6774959911126643,0.711238436633721,0.7979589863680303,0.9493937948718667,1.2777305266354226,0.19622309160727402,27.588932417094114,22495.97206209456,0.9723,0.94982,0.877468,16,16,10000,0.5,2,64,2,10,10,90,2026-07-20 08:45:17,python run_ours.py --result_path ./results/ --baselines_path ./results/SIFT1M_default_BASELINES/baseline_results.csv --dbname glove-25-angular --skew default --store --target_queries 1000000 --get_qps --clear_results --nruns 1 --seed 42 --nthreads 16 --runid 0 --run_desc 20250227-1M-alpha_0.5-MINPTS_2-Pts2CentThres_64-conv_200-nthread_16 --index_name CrackIVF --topK 100 --niter 10 --nprobe 99999 --nlist 100 --batch_size None --detailed --alpha 0.5 --cv_max 2 --spread_max 10 --size_prcnt_low 10 --size_prcnt_high 90 --min_pts 2 --pts_crack_thr 64
glove-25-angular,default,42,1,CrackIVF-END,16000,"[100, 10100, 16000]",256,10,,,,,0.5808964504976757,,0.7222415879368782,0.7902309880591929,0.8785980171523988,0.9294343207962811,1.0113480093423277,1.1924985912628474,1.7388582997955373,0.2177466677210545,23.427870356078824,17214.77208447844,0.9818,0.96992,0.930599,16,16,10000,0.5,2,64,2,10,10,90,2026-07-20 08:45:18,python run_ours.py --result_path ./results/ --baselines_path ./results/SIFT1M_default_BASELINES/baseline_results.csv --dbname glove-25-angular --skew default --store --target_queries 1000000 --get_qps --clear_results --nruns 1 --seed 42 --nthreads 16 --runid 0 --run_desc 20250227-1M-alpha_0.5-MINPTS_2-Pts2CentThres_64-conv_200-nthread_16 --index_name CrackIVF --topK 100 --niter 10 --nprobe 99999 --nlist 100 --batch_size None --detailed --alpha 0.5 --cv_max 2 --spread_max 10 --size_prcnt_low 10 --size_prcnt_high 90 --min_pts 2 --pts_crack_thr 64
