batch_id,index_name,batch_size,qid,nthreads,curr_nlist,nlist,niter,seed,nprobe,cummulative_time_ms_mean,total_ms_mean,overhead_ms_mean,search_time_ms_mean,crack_time_ms_mean,refine_time_ms_mean,get_local_region_time_ms_mean,reorg_time_ms_mean,inner_point_assignments_ms_mean,update_invlists_ms_mean,metadata_tracking_time_mean,nruns,recall_1_perQ,recall_10_perQ,recall_100_perQ,cum_dist_comp
1,CrackIVF,16,0,16,100,100,10,42,99999,329.5911870081909,16.459037986351177,1.7037659999914467,14.75527198635973,0.0,0.00025599729269742966,0.0,0.0,0.0,0.0,1.629014004720375,1,0.9375,0.93125,0.885,25600000
2,CrackIVF,16,16,16,100,100,10,42,99999,344.6763940155506,15.085207007359713,1.43311099964194,13.652096007717773,0.0,0.00023999018594622612,0.0,0.0,0.0,0.0,1.4221830060705543,1,0.9375,0.9625,0.930625,25600000
3,CrackIVF,16,32,16,100,100,10,42,99999,361.17159301647916,16.49519900092855,1.4272719854488969,15.067927015479654,0.0,0.0002560263965278864,0.0,0.0,0.0,0.0,1.4165360189508647,1,0.875,0.89375,0.91625,25600000
4,CrackIVF,16,48,16,100,100,10,42,99999,376.56324601266533,15.391652996186167,1.4309679972939193,13.960684998892248,0.0,0.00036798883229494095,0.0,0.0,0.0,0.0,1.4199439901858568,1,0.9375,0.96875,0.94625,25600000
5,CrackIVF,16,64,16,100,100,10,42,99999,391.1876710189972,14.624425006331876,1.4477029908448458,13.17672201548703,0.0,0.00025599729269742966,0.0,0.0,0.0,0.0,1.4373839949257672,1,1.0,0.95,0.929375,25600000
6,CrackIVF,16,80,16,100,100,10,42,99999,407.2477210138459,16.06004999484867,1.4009680016897619,14.659081993158907,0.0,0.00028801150619983673,0.0,0.0,0.0,0.0,1.3905040104873478,1,0.875,0.94375,0.91875,25600000
7,CrackIVF,16,96,16,100,100,10,42,99999,422.82572502153926,15.57800400769338,1.4442960091400892,14.133707998553291,0.0,0.00028798240236938,0.0,0.0,0.0,0.0,1.4334000006783754,1,0.875,0.95,0.905625,25600000
8,CrackIVF,16,112,16,100,100,10,42,99999,438.28145702718757,15.455732005648315,1.4180230209603906,14.037708984687924,0.0,0.00028801150619983673,0.0,0.0,0.0,0.0,1.4071440091356635,1,1.0,0.9375,0.904375,25600000
9,CrackIVF,16,128,16,100,100,10,42,99999,454.0952520328574,15.813795005669817,1.4416080084629357,14.372186997206882,0.0,0.00030398950912058353,0.0,0.0,0.0,0.0,1.4308399986475706,1,1.0,0.90625,0.903125,25600000
10,CrackIVF,16,144,16,100,100,10,42,99999,469.6317520283628,15.536499995505437,1.5640229976270348,13.972476997878402,0.0,0.00028801150619983673,0.0,0.0,0.0,0.0,1.54666299931705,1,0.9375,0.95625,0.9525,25600000
11,CrackIVF,16,160,16,100,100,10,42,99999,485.19953203503974,15.567780006676912,1.423768000677228,14.144012005999684,0.0,0.00028801150619983673,0.0,0.0,0.0,0.0,1.4123439905233681,1,1.0,0.9125,0.870625,25600000
12,CrackIVF,16,176,16,100,100,10,42,99999,500.7705760363024,15.571044001262635,1.6000070027075708,13.971036998555064,0.0,0.00031999661587178707,0.0,0.0,0.0,0.0,1.583350996952504,1,1.0,0.94375,0.904375,25600000
13,CrackIVF,16,192,16,100,100,10,42,99999,515.9642940561753,15.193718019872904,1.4533350185956806,13.740383001277223,0.0,0.00028801150619983673,0.0,0.0,0.0,0.0,1.4426150009967387,1,1.0,0.95625,0.936875,25600000
14,CrackIVF,16,208,16,100,100,10,42,99999,532.3041500814725,16.339856025297195,1.5830630145501345,14.75679301074706,0.0,0.00030398950912058353,0.0,0.0,0.0,0.0,1.5658950142096728,1,0.9375,0.94375,0.925625,25600000
15,CrackIVF,16,224,16,100,100,10,42,99999,548.0537530966103,15.749603015137836,1.39903201488778,14.350571000250056,0.0,0.0003360037226229906,0.0,0.0,0.0,0.0,1.3882319908589125,1,0.9375,0.9,0.88375,25600000
