dataset_name,dim,skew,seed,nruns,index_name,nlist,nprobe,niter,add_time,train_time,total_build_time,total_search_time,total_time,10th_search_time_ms,25th_search_time_ms,median_search_time_ms,mean_search_time_ms,75th_search_time_ms,90th_search_time_ms,99th_search_time_ms,std_search_time_ms,CV_search_time_ms,QPS,recall_1,recall_10,recall_100,nthreads,batch_size,total_num_queries,run_date,cmd
SIFT10M,128,default,42,3,IVFFlat,1000,1,10,14.007641356001841,4.191030126006808,18.19867148200865,0.9943040009529795,19.19297548296163,1.217350794468075,1.3569719740189612,1.5395009831991047,1.5908864015247672,1.7594079836271703,2.0152906072326005,2.7413500682450826,0.3396826391673786,21.351784693225966,9827.398449628776,0.4836,0.44396,0.383606,16,16,10000,2026-07-20 04:32:27,python run_baselines.py --result_path ./results/ --dbname SIFT10M --skew default --store --target_queries 0 --nruns 3 --seed 42 --nthreads 16 --runid 250227_rerun_baselines --run_desc None --index_name BruteForce IVFFlat --topK 100 --niter 10 --nprobe 1 2 4 8 16 20 32 48 64 80 128 256 512 1024 --nlist 100 1000 5000 10000 16000 --batch_size None
SIFT10M,128,default,42,3,IVFFlat,1000,2,10,14.007641356001841,4.191030126006808,18.19867148200865,1.5869738452893216,19.78564532729797,2.047083602519706,2.2267710010055453,2.4737179919611663,2.5391581524629148,2.796023996779695,3.0954765854403377,3.7860662827733904,0.44019411073447384,17.336222649522536,6301.301076689702,0.6554,0.61248,0.544396,16,16,10000,2026-07-20 04:32:32,python run_baselines.py --result_path ./results/ --dbname SIFT10M --skew default --store --target_queries 0 --nruns 3 --seed 42 --nthreads 16 --runid 250227_rerun_baselines --run_desc None --index_name BruteForce IVFFlat --topK 100 --niter 10 --nprobe 1 2 4 8 16 20 32 48 64 80 128 256 512 1024 --nlist 100 1000 5000 10000 16000 --batch_size None
SIFT10M,128,default,42,3,IVFFlat,1000,4,10,14.007641356001841,4.191030126006808,18.19867148200865,2.4677165290049743,20.666388011013623,3.2897275930736214,3.5266059858258814,3.906193975126371,3.948346446407959,4.343926004366949,4.618872003629804,5.133271247614175,0.521273082108663,13.20231365671813,4049.2240572491023,0.8078,0.76779,0.702583,16,16,10000,2026-07-20 04:32:41,python run_baselines.py --result_path ./results/ --dbname SIFT10M --skew default --store --target_queries 0 --nruns 3 --seed 42 --nthreads 16 --runid 250227_rerun_baselines --run_desc None --index_name BruteForce IVFFlat --topK 100 --niter 10 --nprobe 1 2 4 8 16 20 32 48 64 80 128 256 512 1024 --nlist 100 1000 5000 10000 16000 --batch_size None
SIFT10M,128,default,42,3,IVFFlat,1000,8,10,14.007641356001841,4.191030126006808,18.19867148200865,4.724901768291602,22.92357325030025,6.610899593215436,6.985132989939302,7.489504991099238,7.559842829266563,8.049158001085743,8.632021205266938,9.598631991539149,0.7753543859037788,10.256223620180762,2115.3986052172204,0.9123,0.88163,0.832463,16,16,10000,2026-07-20 04:32:56,python run_baselines.py --result_path ./results/ --dbname SIFT10M --skew default --store --target_queries 0 --nruns 3 --seed 42 --nthreads 16 --runid 250227_rerun_baselines --run_desc None --index_name BruteForce IVFFlat --topK 100 --niter 10 --nprobe 1 2 4 8 16 20 32 48 64 80 128 256 512 1024 --nlist 100 1000 5000 10000 16000 --batch_size None
SIFT10M,128,default,42,3,IVFFlat,1000,16,10,14.007641356001841,4.191030126006808,18.19867148200865,9.433999475790188,27.632670957798837,13.25925140408799,14.079195010708645,14.98460999573581,15.0943991612643,16.063611983554438,17.010423203464597,18.651393357431516,1.4838804291961418,9.83066906700149,1045.5111917056156,0.9673,0.95185,0.922378,16,16,10000,2026-07-20 04:33:25,python run_baselines.py --result_path ./results/ --dbname SIFT10M --skew default --store --target_queries 0 --nruns 3 --seed 42 --nthreads 16 --runid 250227_rerun_baselines --run_desc None --index_name BruteForce IVFFlat --topK 100 --niter 10 --nprobe 1 2 4 8 16 20 32 48 64 80 128 256 512 1024 --nlist 100 1000 5000 10000 16000 --batch_size None
SIFT10M,128,default,42,3,IVFFlat,1000,20,10,14.007641356001841,4.191030126006808,18.19867148200865,12.413532881066203,30.612204363074852,17.614802601747215,18.71974702225998,19.84974098741077,19.861652609705924,21.095478994539008,22.062358405673876,23.86047835694626,1.7082661991369783,8.600826087866368,848.783474768416,0.9783,0.96602,0.942324,16,16,10000,2026-07-20 04:34:02,python run_baselines.py --result_path ./results/ --dbname SIFT10M --skew default --store --target_queries 0 --nruns 3 --seed 42 --nthreads 16 --runid 250227_rerun_baselines --run_desc None --index_name BruteForce IVFFlat --topK 100 --niter 10 --nprobe 1 2 4 8 16 20 32 48 64 80 128 256 512 1024 --nlist 100 1000 5000 10000 16000 --batch_size None
SIFT10M,128,default,42,3,IVFFlat,1000,32,10,14.007641356001841,4.191030126006808,18.19867148200865,19.47404818906216,37.67271967107081,28.375407599378377,29.685280984267592,30.979836999904364,31.158477102499454,32.654570997692645,34.00318359490484,36.86680848128162,2.2053682412893907,7.077907671914048,528.5461484612989,0.9909,0.9856,0.972275,16,16,10000,2026-07-20 04:35:00,python run_baselines.py --result_path ./results/ --dbname SIFT10M --skew default --store --target_queries 0 --nruns 3 --seed 42 --nthreads 16 --runid 250227_rerun_baselines --run_desc None --index_name BruteForce IVFFlat --topK 100 --niter 10 --nprobe 1 2 4 8 16 20 32 48 64 80 128 256 512 1024 --nlist 100 1000 5000 10000 16000 --batch_size None
SIFT10M,128,default,42,3,IVFFlat,1000,48,10,14.007641356001841,4.191030126006808,18.19867148200865,31.03863167221425,49.2373031542229,46.39303399599157,47.655610978836194,49.56742000649683,49.6618106755428,51.44215599284507,53.16342239966616,56.17297051707283,2.628378426017216,5.2925545610676386,322.1791509885402,0.9963,0.99407,0.986877,16,16,10000,2026-07-20 04:36:32,python run_baselines.py --result_path ./results/ --dbname SIFT10M --skew default --store --target_queries 0 --nruns 3 --seed 42 --nthreads 16 --runid 250227_rerun_baselines --run_desc None --index_name BruteForce IVFFlat --topK 100 --niter 10 --nprobe 1 2 4 8 16 20 32 48 64 80 128 256 512 1024 --nlist 100 1000 5000 10000 16000 --batch_size None
SIFT10M,128,default,42,3,IVFFlat,1000,64,10,14.007641356001841,4.191030126006808,18.19867148200865,37.75214997434523,55.95082145635388,56.824910995783284,58.336533984402195,60.310503002256155,60.40343995895237,62.36877600895241,64.2384848149959,67.27941232034937,2.816969180374042,4.663590653592471,264.73878720413296,0.9984,0.99711,0.992998,16,16,10000,2026-07-20 04:38:29,python run_baselines.py --result_path ./results/ --dbname SIFT10M --skew default --store --target_queries 0 --nruns 3 --seed 42 --nthreads 16 --runid 250227_rerun_baselines --run_desc None --index_name BruteForce IVFFlat --topK 100 --niter 10 --nprobe 1 2 4 8 16 20 32 48 64 80 128 256 512 1024 --nlist 100 1000 5000 10000 16000 --batch_size None
SIFT10M,128,default,42,3,IVFFlat,1000,80,10,14.007641356001841,4.191030126006808,18.19867148200865,49.973043417645385,68.17171489965403,75.51223359187134,77.35653498093598,79.87738799420185,79.95686946823261,82.68595702247694,84.90121340146288,87.98768088687211,3.67953628258494,4.6019013839040355,200.00626580570417,0.9991,0.99833,0.996,16,16,10000,2026-07-20 04:41:00,python run_baselines.py --result_path ./results/ --dbname SIFT10M --skew default --store --target_queries 0 --nruns 3 --seed 42 --nthreads 16 --runid 250227_rerun_baselines --run_desc None --index_name BruteForce IVFFlat --topK 100 --niter 10 --nprobe 1 2 4 8 16 20 32 48 64 80 128 256 512 1024 --nlist 100 1000 5000 10000 16000 --batch_size None
SIFT10M,128,default,42,3,IVFFlat,1000,128,10,14.007641356001841,4.191030126006808,18.19867148200865,78.89568233981845,97.0943538218271,120.78549260622822,123.04957199376076,126.03952499921434,126.23309174370952,129.19114698888734,131.94882099633105,136.80001683998853,4.397429354024786,3.483578904137805,126.711603280097,0.9998,0.99967,0.999031,16,16,10000,2026-07-20 04:44:58,python run_baselines.py --result_path ./results/ --dbname SIFT10M --skew default --store --target_queries 0 --nruns 3 --seed 42 --nthreads 16 --runid 250227_rerun_baselines --run_desc None --index_name BruteForce IVFFlat --topK 100 --niter 10 --nprobe 1 2 4 8 16 20 32 48 64 80 128 256 512 1024 --nlist 100 1000 5000 10000 16000 --batch_size None
SIFT10M,128,default,42,3,IVFFlat,1000,256,10,14.007641356001841,4.191030126006808,18.19867148200865,154.13443507131888,172.33310655332753,238.83871281286702,242.62928700773045,246.52506702113897,246.6150961141102,250.41375201544724,254.71329361316748,261.6015054064337,6.1226506792682205,2.482674733113351,64.74868873692529,1.0,0.99998,0.999927,16,16,10000,2026-07-20 04:52:42,python run_baselines.py --result_path ./results/ --dbname SIFT10M --skew default --store --target_queries 0 --nruns 3 --seed 42 --nthreads 16 --runid 250227_rerun_baselines --run_desc None --index_name BruteForce IVFFlat --topK 100 --niter 10 --nprobe 1 2 4 8 16 20 32 48 64 80 128 256 512 1024 --nlist 100 1000 5000 10000 16000 --batch_size None
SIFT10M,128,default,42,3,IVFFlat,1000,512,10,14.007641356001841,4.191030126006808,18.19867148200865,305.68857067634235,323.887242158351,478.88620939920656,483.8432969991118,489.5676260057371,489.10171308214774,494.43913402501494,498.68895859108306,506.23058752389625,7.915159209451118,1.6183053540280112,32.71892699050614,1.0,0.99999,0.999994,16,16,10000,2026-07-20 05:08:00,python run_baselines.py --result_path ./results/ --dbname SIFT10M --skew default --store --target_queries 0 --nruns 3 --seed 42 --nthreads 16 --runid 250227_rerun_baselines --run_desc None --index_name BruteForce IVFFlat --topK 100 --niter 10 --nprobe 1 2 4 8 16 20 32 48 64 80 128 256 512 1024 --nlist 100 1000 5000 10000 16000 --batch_size None
SIFT10M,128,default,42,3,IVFFlat,5000,1,10,61.6683426790114,82.29268191001029,143.9610245890217,0.4254403460363392,144.38646493505803,0.5012405978050083,0.5719740001950413,0.6483109900727868,0.6807045536581426,0.7438480097334832,0.8744957973249258,1.41942044487223,0.1932095060589772,28.383754012024596,22720.254332685778,0.3847,0.34215,0.27345,16,16,10000,2026-07-20 05:10:26,python run_baselines.py --result_path ./results/ --dbname SIFT10M --skew default --store --target_queries 0 --nruns 3 --seed 42 --nthreads 16 --runid 250227_rerun_baselines --run_desc None --index_name BruteForce IVFFlat --topK 100 --niter 10 --nprobe 1 2 4 8 16 20 32 48 64 80 128 256 512 1024 --nlist 100 1000 5000 10000 16000 --batch_size None
SIFT10M,128,default,42,3,IVFFlat,5000,2,10,61.6683426790114,82.29268191001029,143.9610245890217,0.5968114164716098,144.5578360054933,0.7289546076208353,0.7992399914655834,0.9024740138556808,0.9548982663545758,1.050602993927896,1.2299526133574545,1.7415185121353713,0.22784792318119199,23.86096312134122,16669.764627905868,0.5442,0.49274,0.408853,16,16,10000,2026-07-20 05:10:28,python run_baselines.py --result_path ./results/ --dbname SIFT10M --skew default --store --target_queries 0 --nruns 3 --seed 42 --nthreads 16 --runid 250227_rerun_baselines --run_desc None --index_name BruteForce IVFFlat --topK 100 --niter 10 --nprobe 1 2 4 8 16 20 32 48 64 80 128 256 512 1024 --nlist 100 1000 5000 10000 16000 --batch_size None
SIFT10M,128,default,42,3,IVFFlat,5000,4,10,61.6683426790114,82.29268191001029,143.9610245890217,0.9318292717216536,144.89285386074334,1.1289243877399713,1.2535169953480363,1.4379509957507253,1.4909268347546458,1.6434420249424875,1.909786800388247,2.8162965911906213,0.34862715877367967,23.383250649657228,10938.663959192842,0.6983,0.64401,0.556126,16,16,10000,2026-07-20 05:10:32,python run_baselines.py --result_path ./results/ --dbname SIFT10M --skew default --store --target_queries 0 --nruns 3 --seed 42 --nthreads 16 --runid 250227_rerun_baselines --run_desc None --index_name BruteForce IVFFlat --topK 100 --niter 10 --nprobe 1 2 4 8 16 20 32 48 64 80 128 256 512 1024 --nlist 100 1000 5000 10000 16000 --batch_size None
SIFT10M,128,default,42,3,IVFFlat,5000,8,10,61.6683426790114,82.29268191001029,143.9610245890217,1.4952319173316937,145.45625650635338,1.9274065969511867,2.097543008858338,2.319209015695378,2.3923710677307097,2.616765006678179,2.9205177968833596,3.660820175427943,0.41900988121799665,17.51441851432561,6687.925721814067,0.8207,0.77737,0.697704,16,16,10000,2026-07-20 05:10:37,python run_baselines.py --result_path ./results/ --dbname SIFT10M --skew default --store --target_queries 0 --nruns 3 --seed 42 --nthreads 16 --runid 250227_rerun_baselines --run_desc None --index_name BruteForce IVFFlat --topK 100 --niter 10 --nprobe 1 2 4 8 16 20 32 48 64 80 128 256 512 1024 --nlist 100 1000 5000 10000 16000 --batch_size None
