batch_id,index_name,batch_size,qid,nthreads,curr_nlist,nlist,niter,seed,nprobe,cummulative_time_ms_mean,total_ms_mean,overhead_ms_mean,search_time_ms_mean,crack_time_ms_mean,refine_time_ms_mean,get_local_region_time_ms_mean,reorg_time_ms_mean,inner_point_assignments_ms_mean,update_invlists_ms_mean,metadata_tracking_time_mean,nruns,recall_1_perQ,recall_10_perQ,recall_100_perQ,cum_dist_comp
1,CrackIVF,16,0,16,100,100,10,42,99999,1196.405344962841,6.531849998282269,1.5796019870322198,4.952248011250049,0.0,0.0002720043994486332,0.0,0.0,0.0,0.0,1.5237129991874099,1,0.875,0.925,0.86625,25600000
2,CrackIVF,16,16,16,100,100,10,42,99999,1202.9447479872033,6.5394030243624,1.4445610286202282,5.094841995742172,0.0,0.00024001928977668285,0.0,0.0,0.0,0.0,1.433792000170797,1,0.875,0.93125,0.866875,25600000
3,CrackIVF,16,32,16,100,100,10,42,99999,1209.120546001941,6.175798014737666,1.4290560211520642,4.7467419935856014,0.0,0.00020800507627427578,0.0,0.0,0.0,0.0,1.4181919978000224,1,1.0,0.98125,0.929375,25600000
4,CrackIVF,16,48,16,100,100,10,42,99999,1216.1684349994175,7.047888997476548,1.4593130035791546,5.588575993897393,0.0,0.00027197529561817646,0.0,0.0,0.0,0.0,1.4476490032393485,1,0.875,0.9,0.88125,25600000
5,CrackIVF,16,64,16,100,100,10,42,99999,1222.2106799890753,6.042244989657775,1.4415369951166213,4.600707994541153,0.0,0.0003360037226229906,0.0,0.0,0.0,0.0,1.430351985618472,1,1.0,0.9125,0.89375,25600000
6,CrackIVF,16,80,16,100,100,10,42,99999,1229.2751600034535,7.064480014378205,1.4151200011838228,5.649360013194382,0.0,0.00028798240236938,0.0,0.0,0.0,0.0,1.4047359873075038,1,0.875,0.89375,0.8775,25600000
7,CrackIVF,16,96,16,100,100,10,42,99999,1235.3416779951658,6.066517991712317,1.416031998815015,4.650485992897302,0.0,0.0002720043994486332,0.0,0.0,0.0,0.0,1.4052480109967291,1,0.875,0.91875,0.884375,25600000
8,CrackIVF,16,112,16,100,100,10,42,99999,1241.686262015719,6.344584020553157,1.4101120177656412,4.9344720027875155,0.0,0.00025599729269742966,0.0,0.0,0.0,0.0,1.399440021486953,1,0.875,0.93125,0.893125,25600000
9,CrackIVF,16,128,16,100,100,10,42,99999,1248.2009930245113,6.514731008792296,1.4429450093302876,5.0717859994620085,0.0,0.00027299392968416214,0.0,0.0,0.0,0.0,1.4320800255518407,1,0.8125,0.93125,0.89875,25600000
10,CrackIVF,16,144,16,100,100,10,42,99999,1255.1464170101099,6.945423985598609,1.38841598527506,5.557008000323549,0.0,0.00025599729269742966,0.0,0.0,0.0,0.0,1.3773439859505743,1,1.0,0.94375,0.894375,25600000
11,CrackIVF,16,160,16,100,100,10,42,99999,1261.4375770208426,6.29116001073271,1.4261449978221208,4.86501501291059,0.0,0.00023999018594622612,0.0,0.0,0.0,0.0,1.4070879842620343,1,0.75,0.85625,0.83625,25600000
12,CrackIVF,16,176,16,100,100,10,42,99999,1267.179306014441,5.741728993598372,1.3828320079483092,4.358896985650063,0.0,0.0003360037226229906,0.0,0.0,0.0,0.0,1.37179100420326,1,0.9375,0.89375,0.855,25600000
13,CrackIVF,16,192,16,100,100,10,42,99999,1272.9143800097518,5.735073995310813,1.381951995426789,4.353121999884024,0.0,0.00028801150619983673,0.0,0.0,0.0,0.0,1.3713600055780262,1,0.875,0.91875,0.84125,25600000
14,CrackIVF,16,208,16,100,100,10,42,99999,1279.0747380058747,6.160357996122912,1.4331040147226304,4.727253981400281,0.0,0.0002720043994486332,0.0,0.0,0.0,0.0,1.4218559954315424,1,0.9375,0.9,0.85125,25600000
15,CrackIVF,16,224,16,100,100,10,42,99999,1285.173495998606,6.098757992731407,1.3733280065935105,4.725429986137897,0.0,0.00028801150619983673,0.0,0.0,0.0,0.0,1.362303999485448,1,1.0,0.94375,0.89125,25600000
16,CrackIVF,16,240,16,100,100,10,42,99999,1291.8580520199612,6.6845560213550925,1.4105919981375337,5.273964023217559,0.0,0.00025599729269742966,0.0,0.0,0.0,0.0,1.4002880197949708,1,0.9375,0.90625,0.86625,25600000
17,CrackIVF,16,256,16,100,100,10,42,99999,1299.4123940297868,7.554342009825632,1.6298099944833666,5.924532015342265,0.0,0.0003360037226229906,0.0,0.0,0.0,0.0,1.6110099968500435,1,1.0,0.925,0.8975,25600000
18,CrackIVF,16,272,16,100,100,10,42,99999,1306.2080240342766,6.795630004489794,1.3903360231779516,5.405293981311843,0.0,0.0003680179361253977,0.0,0.0,0.0,0.0,1.378863991703838,1,0.9375,0.95625,0.875625,25600000
19,CrackIVF,16,288,16,100,100,10,42,99999,1312.710930040339,6.502906006062403,1.398624008288607,5.104281997773796,0.0,0.00030401861295104027,0.0,0.0,0.0,0.0,1.38782401336357,1,0.9375,0.9125,0.896875,25600000
20,CrackIVF,16,304,16,100,100,10,42,99999,1318.3765630528796,5.6656330125406384,1.3871680130250752,4.278464999515563,0.0,0.0002720043994486332,0.0,0.0,0.0,0.0,1.3760319852735847,1,0.9375,0.91875,0.839375,25600000
21,CrackIVF,16,320,16,100,100,10,42,99999,1324.5089210395236,6.13235798664391,1.3928159896750003,4.73954199696891,0.0,0.0003519817255437374,0.0,0.0,0.0,0.0,1.3825280184391886,1,0.9375,0.93125,0.87,25600000
22,CrackIVF,16,336,16,100,100,10,42,99999,1330.6400310539175,6.131110014393926,1.408528012689203,4.722582001704723,0.0,0.00023999018594622612,0.0,0.0,0.0,0.0,1.3982079981360584,1,1.0,0.91875,0.91625,25600000
23,CrackIVF,16,352,16,100,100,10,42,99999,1336.695956037147,6.055924983229488,1.4010079903528094,4.654916992876679,0.0,0.00023999018594622612,0.0,0.0,0.0,0.0,1.3907999964430928,1,0.9375,0.925,0.861875,25600000
24,CrackIVF,16,368,16,100,100,10,42,99999,1342.707849049475,6.011893012328073,1.386143994750455,4.625749017577618,0.0,0.00027197529561817646,0.0,0.0,0.0,0.0,1.3751840160693973,1,1.0,0.93125,0.8725,25600000
25,CrackIVF,16,384,16,100,100,10,42,99999,1348.7532780272886,6.045428977813572,1.404255977831781,4.641172999981791,0.0,0.00028801150619983673,0.0,0.0,0.0,0.0,1.3936480099800974,1,0.9375,0.90625,0.883125,25600000
