dataset_name,skew,seed,nruns,index_name,nlist,cracks_history,nprobe,niter,add_time,train_time,total_build_time,cracking_overhead_time,total_search_time,total_time,10th_search_time_ms,25th_search_time_ms,median_search_time_ms,mean_search_time_ms,75th_search_time_ms,90th_search_time_ms,99th_search_time_ms,std_search_time_ms,CV_search_time_ms,QPS,recall_1,recall_10,recall_100,nthreads,batch_size,total_num_queries,alpha,min_pts,pts_crack_thr,cv_max,spread_max,size_prcnt_low,size_prcnt_high,run_date,cmd
glove-50-angular,default,42,1,CrackIVF-END,16000,"[100, 3476, 5875, 10704, 15453, 16000]",1,10,,,,,0.2929940223111771,,0.24603380006738007,0.33287800033576787,0.4391490074340254,0.46879043569788337,0.5545089952647686,0.6818705936893822,1.1450739565771073,0.20983515023423374,44.76097084230278,34130.389149644165,0.4914,0.36181,0.186334,16,16,10000,0.5,2,64,2,10,10,90,2026-07-20 08:48:23,python run_ours.py --result_path ./results/ --baselines_path ./results/SIFT1M_default_BASELINES/baseline_results.csv --dbname glove-50-angular --skew default --store --target_queries 1000000 --get_qps --clear_results --nruns 1 --seed 42 --nthreads 16 --runid 0 --run_desc 20250227-1M-alpha_0.5-MINPTS_2-Pts2CentThres_64-conv_200-nthread_16 --index_name CrackIVF --topK 100 --niter 10 --nprobe 99999 --nlist 100 --batch_size None --detailed --alpha 0.5 --cv_max 2 --spread_max 10 --size_prcnt_low 10 --size_prcnt_high 90 --min_pts 2 --pts_crack_thr 64
glove-50-angular,default,42,1,CrackIVF-END,16000,"[100, 3476, 5875, 10704, 15453, 16000]",2,10,,,,,0.3635624832822941,,0.3559659933671355,0.45985300675965846,0.568588002352044,0.5816999732516706,0.6684600084554404,0.8074349956586957,1.0963861981872465,0.201350203857355,34.61409886815338,27505.58833716441,0.6432,0.50886,0.296853,16,16,10000,0.5,2,64,2,10,10,90,2026-07-20 08:48:23,python run_ours.py --result_path ./results/ --baselines_path ./results/SIFT1M_default_BASELINES/baseline_results.csv --dbname glove-50-angular --skew default --store --target_queries 1000000 --get_qps --clear_results --nruns 1 --seed 42 --nthreads 16 --runid 0 --run_desc 20250227-1M-alpha_0.5-MINPTS_2-Pts2CentThres_64-conv_200-nthread_16 --index_name CrackIVF --topK 100 --niter 10 --nprobe 99999 --nlist 100 --batch_size None --detailed --alpha 0.5 --cv_max 2 --spread_max 10 --size_prcnt_low 10 --size_prcnt_high 90 --min_pts 2 --pts_crack_thr 64
glove-50-angular,default,42,1,CrackIVF-END,16000,"[100, 3476, 5875, 10704, 15453, 16000]",4,10,,,,,0.317714219505433,,0.28888439992442727,0.38067001150920987,0.49444500473327935,0.5083427512086928,0.611067982390523,0.7137719891034067,1.0064816800877452,0.18442592657972456,36.279837991436445,31474.826702960952,0.7316,0.61473,0.409039,16,16,10000,0.5,2,64,2,10,10,90,2026-07-20 08:48:24,python run_ours.py --result_path ./results/ --baselines_path ./results/SIFT1M_default_BASELINES/baseline_results.csv --dbname glove-50-angular --skew default --store --target_queries 1000000 --get_qps --clear_results --nruns 1 --seed 42 --nthreads 16 --runid 0 --run_desc 20250227-1M-alpha_0.5-MINPTS_2-Pts2CentThres_64-conv_200-nthread_16 --index_name CrackIVF --topK 100 --niter 10 --nprobe 99999 --nlist 100 --batch_size None --detailed --alpha 0.5 --cv_max 2 --spread_max 10 --size_prcnt_low 10 --size_prcnt_high 90 --min_pts 2 --pts_crack_thr 64
glove-50-angular,default,42,1,CrackIVF-END,16000,"[100, 3476, 5875, 10704, 15453, 16000]",8,10,,,,,0.39629245791002177,,0.39939539856277406,0.49738900270313025,0.5992289807181805,0.6340679326560348,0.7162670081015676,0.8671335934195669,1.6755220340564834,0.24321439954424937,38.357782663042634,25233.889266372313,0.7976,0.69741,0.51384,16,16,10000,0.5,2,64,2,10,10,90,2026-07-20 08:48:25,python run_ours.py --result_path ./results/ --baselines_path ./results/SIFT1M_default_BASELINES/baseline_results.csv --dbname glove-50-angular --skew default --store --target_queries 1000000 --get_qps --clear_results --nruns 1 --seed 42 --nthreads 16 --runid 0 --run_desc 20250227-1M-alpha_0.5-MINPTS_2-Pts2CentThres_64-conv_200-nthread_16 --index_name CrackIVF --topK 100 --niter 10 --nprobe 99999 --nlist 100 --batch_size None --detailed --alpha 0.5 --cv_max 2 --spread_max 10 --size_prcnt_low 10 --size_prcnt_high 90 --min_pts 2 --pts_crack_thr 64
glove-50-angular,default,42,1,CrackIVF-END,16000,"[100, 3476, 5875, 10704, 15453, 16000]",16,10,,,,,0.4282551678479649,,0.46303480048663914,0.551965000340715,0.6592919817194343,0.6852082685567439,0.7706829928793013,0.9173860074952246,1.4278484007809311,0.20795938081916243,30.349806089933484,23350.564688457198,0.8442,0.7629,0.607439,16,16,10000,0.5,2,64,2,10,10,90,2026-07-20 08:48:25,python run_ours.py --result_path ./results/ --baselines_path ./results/SIFT1M_default_BASELINES/baseline_results.csv --dbname glove-50-angular --skew default --store --target_queries 1000000 --get_qps --clear_results --nruns 1 --seed 42 --nthreads 16 --runid 0 --run_desc 20250227-1M-alpha_0.5-MINPTS_2-Pts2CentThres_64-conv_200-nthread_16 --index_name CrackIVF --topK 100 --niter 10 --nprobe 99999 --nlist 100 --batch_size None --detailed --alpha 0.5 --cv_max 2 --spread_max 10 --size_prcnt_low 10 --size_prcnt_high 90 --min_pts 2 --pts_crack_thr 64
glove-50-angular,default,42,1,CrackIVF-END,16000,"[100, 3476, 5875, 10704, 15453, 16000]",32,10,,,,,0.4474186407751404,,0.5175771890208125,0.5983489973004907,0.6871790101286024,0.7158698252402246,0.7962509989738464,0.9299203928094358,1.3503143156412987,0.189090613123552,26.414105813176135,22350.432209698007,0.883,0.81895,0.692077,16,16,10000,0.5,2,64,2,10,10,90,2026-07-20 08:48:26,python run_ours.py --result_path ./results/ --baselines_path ./results/SIFT1M_default_BASELINES/baseline_results.csv --dbname glove-50-angular --skew default --store --target_queries 1000000 --get_qps --clear_results --nruns 1 --seed 42 --nthreads 16 --runid 0 --run_desc 20250227-1M-alpha_0.5-MINPTS_2-Pts2CentThres_64-conv_200-nthread_16 --index_name CrackIVF --topK 100 --niter 10 --nprobe 99999 --nlist 100 --batch_size None --detailed --alpha 0.5 --cv_max 2 --spread_max 10 --size_prcnt_low 10 --size_prcnt_high 90 --min_pts 2 --pts_crack_thr 64
glove-50-angular,default,42,1,CrackIVF-END,16000,"[100, 3476, 5875, 10704, 15453, 16000]",64,10,,,,,0.5803713828208856,,0.6990808120463043,0.7800910098012537,0.8846499840728939,0.928594212513417,1.0345850023441017,1.1728857934940606,1.8164939561393105,0.23707380086206892,25.530398280254573,17230.34645746171,0.9149,0.86533,0.765483,16,16,10000,0.5,2,64,2,10,10,90,2026-07-20 08:48:27,python run_ours.py --result_path ./results/ --baselines_path ./results/SIFT1M_default_BASELINES/baseline_results.csv --dbname glove-50-angular --skew default --store --target_queries 1000000 --get_qps --clear_results --nruns 1 --seed 42 --nthreads 16 --runid 0 --run_desc 20250227-1M-alpha_0.5-MINPTS_2-Pts2CentThres_64-conv_200-nthread_16 --index_name CrackIVF --topK 100 --niter 10 --nprobe 99999 --nlist 100 --batch_size None --detailed --alpha 0.5 --cv_max 2 --spread_max 10 --size_prcnt_low 10 --size_prcnt_high 90 --min_pts 2 --pts_crack_thr 64
glove-50-angular,default,42,1,CrackIVF-END,16000,"[100, 3476, 5875, 10704, 15453, 16000]",128,10,,,,,0.723056745249778,,0.9163943934254348,0.9929219959303737,1.1085209844168276,1.1568907923996448,1.2488089851103723,1.442880620015785,2.0399767626076932,0.24711848689718785,21.360571673719523,13830.173172017816,0.9381,0.90313,0.828709,16,16,10000,0.5,2,64,2,10,10,90,2026-07-20 08:48:28,python run_ours.py --result_path ./results/ --baselines_path ./results/SIFT1M_default_BASELINES/baseline_results.csv --dbname glove-50-angular --skew default --store --target_queries 1000000 --get_qps --clear_results --nruns 1 --seed 42 --nthreads 16 --runid 0 --run_desc 20250227-1M-alpha_0.5-MINPTS_2-Pts2CentThres_64-conv_200-nthread_16 --index_name CrackIVF --topK 100 --niter 10 --nprobe 99999 --nlist 100 --batch_size None --detailed --alpha 0.5 --cv_max 2 --spread_max 10 --size_prcnt_low 10 --size_prcnt_high 90 --min_pts 2 --pts_crack_thr 64
glove-50-angular,default,42,1,CrackIVF-END,16000,"[100, 3476, 5875, 10704, 15453, 16000]",256,10,,,,,1.054262774909148,,1.3236176106147468,1.4628710050601512,1.6548380081076175,1.6868204398546367,1.8277009949088097,2.0343011943623424,3.097299641231075,0.35468127794207893,21.02661727128727,9485.30123418401,0.9568,0.93391,0.881773,16,16,10000,0.5,2,64,2,10,10,90,2026-07-20 08:48:29,python run_ours.py --result_path ./results/ --baselines_path ./results/SIFT1M_default_BASELINES/baseline_results.csv --dbname glove-50-angular --skew default --store --target_queries 1000000 --get_qps --clear_results --nruns 1 --seed 42 --nthreads 16 --runid 0 --run_desc 20250227-1M-alpha_0.5-MINPTS_2-Pts2CentThres_64-conv_200-nthread_16 --index_name CrackIVF --topK 100 --niter 10 --nprobe 99999 --nlist 100 --batch_size None --detailed --alpha 0.5 --cv_max 2 --spread_max 10 --size_prcnt_low 10 --size_prcnt_high 90 --min_pts 2 --pts_crack_thr 64
glove-50-angular,default,42,1,CrackIVF-END,16000,"[100, 3476, 5875, 10704, 15453, 16000]",512,10,,,,,1.6721286018728279,,2.2481530089862645,2.429744985420257,2.6144970033783466,2.6754057629965247,2.8761900030076504,3.209773014532402,3.953801528550684,0.4243697589693463,15.861884011718693,5980.401261481765,0.9733,0.95853,0.92498,16,16,10000,0.5,2,64,2,10,10,90,2026-07-20 08:48:31,python run_ours.py --result_path ./results/ --baselines_path ./results/SIFT1M_default_BASELINES/baseline_results.csv --dbname glove-50-angular --skew default --store --target_queries 1000000 --get_qps --clear_results --nruns 1 --seed 42 --nthreads 16 --runid 0 --run_desc 20250227-1M-alpha_0.5-MINPTS_2-Pts2CentThres_64-conv_200-nthread_16 --index_name CrackIVF --topK 100 --niter 10 --nprobe 99999 --nlist 100 --batch_size None --detailed --alpha 0.5 --cv_max 2 --spread_max 10 --size_prcnt_low 10 --size_prcnt_high 90 --min_pts 2 --pts_crack_thr 64
