dataset_name,skew,seed,nruns,index_name,nlist,cracks_history,nprobe,niter,add_time,train_time,total_build_time,cracking_overhead_time,total_search_time,total_time,10th_search_time_ms,25th_search_time_ms,median_search_time_ms,mean_search_time_ms,75th_search_time_ms,90th_search_time_ms,99th_search_time_ms,std_search_time_ms,CV_search_time_ms,QPS,recall_1,recall_10,recall_100,nthreads,batch_size,total_num_queries,alpha,min_pts,pts_crack_thr,cv_max,spread_max,size_prcnt_low,size_prcnt_high,run_date,cmd
lastfm-64-dot,default,42,1,CrackIVF-END,967,"[100, 967]",1,10,,,,,0.28652833579690196,,0.035407982068136334,0.036864017602056265,0.04004797665402293,0.09168906745500863,0.13460800983011723,0.19828480435535312,0.5342677910812176,0.1097000754786634,119.64357204580871,174502.81090328595,0.32052,0.307222,0.1564866,16,16,50000,0.5,2,64,2,10,10,90,2026-07-20 15:15:10,python run_ours.py --result_path ./results/ --baselines_path ./results/SIFT1M_default_BASELINES/baseline_results.csv --dbname lastfm-64-dot --skew default --store --target_queries 1000000 --get_qps --clear_results --nruns 1 --seed 42 --nthreads 16 --runid 0 --run_desc 20250227-1M-alpha_0.5-MINPTS_2-Pts2CentThres_64-conv_200-nthread_16 --index_name CrackIVF --topK 100 --niter 10 --nprobe 99999 --nlist 100 --batch_size None --detailed --alpha 0.5 --cv_max 2 --spread_max 10 --size_prcnt_low 10 --size_prcnt_high 90 --min_pts 2 --pts_crack_thr 64
lastfm-64-dot,default,42,1,CrackIVF-END,967,"[100, 967]",2,10,,,,,0.2932403415616136,,0.03476798883639276,0.036640005419030786,0.0392800138797611,0.09383690929971636,0.05404799594543874,0.1990139950066805,0.6092194758821241,0.12563078476364392,133.88205739212648,170508.59964809567,0.48168,0.476796,0.2930184,16,16,50000,0.5,2,64,2,10,10,90,2026-07-20 15:15:11,python run_ours.py --result_path ./results/ --baselines_path ./results/SIFT1M_default_BASELINES/baseline_results.csv --dbname lastfm-64-dot --skew default --store --target_queries 1000000 --get_qps --clear_results --nruns 1 --seed 42 --nthreads 16 --runid 0 --run_desc 20250227-1M-alpha_0.5-MINPTS_2-Pts2CentThres_64-conv_200-nthread_16 --index_name CrackIVF --topK 100 --niter 10 --nprobe 99999 --nlist 100 --batch_size None --detailed --alpha 0.5 --cv_max 2 --spread_max 10 --size_prcnt_low 10 --size_prcnt_high 90 --min_pts 2 --pts_crack_thr 64
lastfm-64-dot,default,42,1,CrackIVF-END,967,"[100, 967]",4,10,,,,,0.2687003691098653,,0.03895999980159104,0.04032001015730202,0.04323199391365051,0.08598411811515688,0.051391980377957225,0.1978111977223307,0.5005557858385116,0.11598605851067005,134.89242089490543,186080.87575628216,0.64732,0.645626,0.4804536,16,16,50000,0.5,2,64,2,10,10,90,2026-07-20 15:15:13,python run_ours.py --result_path ./results/ --baselines_path ./results/SIFT1M_default_BASELINES/baseline_results.csv --dbname lastfm-64-dot --skew default --store --target_queries 1000000 --get_qps --clear_results --nruns 1 --seed 42 --nthreads 16 --runid 0 --run_desc 20250227-1M-alpha_0.5-MINPTS_2-Pts2CentThres_64-conv_200-nthread_16 --index_name CrackIVF --topK 100 --niter 10 --nprobe 99999 --nlist 100 --batch_size None --detailed --alpha 0.5 --cv_max 2 --spread_max 10 --size_prcnt_low 10 --size_prcnt_high 90 --min_pts 2 --pts_crack_thr 64
lastfm-64-dot,default,42,1,CrackIVF-END,967,"[100, 967]",8,10,,,,,0.22583312256028876,,0.04226879100315273,0.04465499660000205,0.04828799865208566,0.0722665992192924,0.054720003390684724,0.19730239873751998,0.4466863733250631,0.07758708763823129,107.36230634403302,221402.42065975917,0.78676,0.786254,0.671874,16,16,50000,0.5,2,64,2,10,10,90,2026-07-20 15:15:14,python run_ours.py --result_path ./results/ --baselines_path ./results/SIFT1M_default_BASELINES/baseline_results.csv --dbname lastfm-64-dot --skew default --store --target_queries 1000000 --get_qps --clear_results --nruns 1 --seed 42 --nthreads 16 --runid 0 --run_desc 20250227-1M-alpha_0.5-MINPTS_2-Pts2CentThres_64-conv_200-nthread_16 --index_name CrackIVF --topK 100 --niter 10 --nprobe 99999 --nlist 100 --batch_size None --detailed --alpha 0.5 --cv_max 2 --spread_max 10 --size_prcnt_low 10 --size_prcnt_high 90 --min_pts 2 --pts_crack_thr 64
lastfm-64-dot,default,42,1,CrackIVF-END,967,"[100, 967]",16,10,,,,,0.26818246743641794,,0.05394239560700953,0.05742398207075894,0.061632017605006695,0.08581838957965374,0.06788800237700343,0.07953919703140855,0.5903773731552064,0.12217090566721613,142.3598208561362,186440.22660375535,0.89118,0.888248,0.8191776,16,16,50000,0.5,2,64,2,10,10,90,2026-07-20 15:15:16,python run_ours.py --result_path ./results/ --baselines_path ./results/SIFT1M_default_BASELINES/baseline_results.csv --dbname lastfm-64-dot --skew default --store --target_queries 1000000 --get_qps --clear_results --nruns 1 --seed 42 --nthreads 16 --runid 0 --run_desc 20250227-1M-alpha_0.5-MINPTS_2-Pts2CentThres_64-conv_200-nthread_16 --index_name CrackIVF --topK 100 --niter 10 --nprobe 99999 --nlist 100 --batch_size None --detailed --alpha 0.5 --cv_max 2 --spread_max 10 --size_prcnt_low 10 --size_prcnt_high 90 --min_pts 2 --pts_crack_thr 64
lastfm-64-dot,default,42,1,CrackIVF-END,967,"[100, 967]",32,10,,,,,0.34941065340535715,,0.08256000000983477,0.08976002573035657,0.09868800407275558,0.11181140908971429,0.10920001659542322,0.12324159615673125,0.4856997134629516,0.08742706720042044,78.19154405814835,143098.09821967324,0.95354,0.951098,0.9158428,16,16,50000,0.5,2,64,2,10,10,90,2026-07-20 15:15:18,python run_ours.py --result_path ./results/ --baselines_path ./results/SIFT1M_default_BASELINES/baseline_results.csv --dbname lastfm-64-dot --skew default --store --target_queries 1000000 --get_qps --clear_results --nruns 1 --seed 42 --nthreads 16 --runid 0 --run_desc 20250227-1M-alpha_0.5-MINPTS_2-Pts2CentThres_64-conv_200-nthread_16 --index_name CrackIVF --topK 100 --niter 10 --nprobe 99999 --nlist 100 --batch_size None --detailed --alpha 0.5 --cv_max 2 --spread_max 10 --size_prcnt_low 10 --size_prcnt_high 90 --min_pts 2 --pts_crack_thr 64
lastfm-64-dot,default,42,1,CrackIVF-END,967,"[100, 967]",64,10,,,,,0.7312175220286008,,0.15901760198175907,0.17444798140786588,0.1957280037458986,0.23398960704915225,0.26479901862330735,0.3729599993675947,0.5921647639479486,0.0999205875641218,42.703002421441866,68379.10538752694,0.98168,0.97997,0.96589,16,16,50000,0.5,2,64,2,10,10,90,2026-07-20 15:15:20,python run_ours.py --result_path ./results/ --baselines_path ./results/SIFT1M_default_BASELINES/baseline_results.csv --dbname lastfm-64-dot --skew default --store --target_queries 1000000 --get_qps --clear_results --nruns 1 --seed 42 --nthreads 16 --runid 0 --run_desc 20250227-1M-alpha_0.5-MINPTS_2-Pts2CentThres_64-conv_200-nthread_16 --index_name CrackIVF --topK 100 --niter 10 --nprobe 99999 --nlist 100 --batch_size None --detailed --alpha 0.5 --cv_max 2 --spread_max 10 --size_prcnt_low 10 --size_prcnt_high 90 --min_pts 2 --pts_crack_thr 64
