batch_id,index_name,batch_size,qid,nthreads,curr_nlist,nlist,niter,seed,nprobe,cummulative_time_ms_mean,total_ms_mean,overhead_ms_mean,search_time_ms_mean,crack_time_ms_mean,refine_time_ms_mean,get_local_region_time_ms_mean,reorg_time_ms_mean,inner_point_assignments_ms_mean,update_invlists_ms_mean,metadata_tracking_time_mean,nruns,recall_1_perQ,recall_10_perQ,recall_100_perQ
1,CrackIVF,16,0,16,100,100,10,42,99999,442.46591001865454,20.433448982657865,4.467135993763804,15.96631298889406,0.0,0.0003500026650726795,0.0,0.0,0.0,0.0,4.385856009321287,1,0.9375,0.93125,0.885
2,CrackIVF,16,16,16,100,100,10,42,99999,470.63725101179443,28.171340993139893,3.789335984038189,24.382005009101704,0.0,0.000400003045797348,0.0,0.0,0.0,0.0,3.77645599655807,1,0.9375,0.9625,0.930625
3,CrackIVF,16,32,16,100,100,10,42,99999,506.5704040171113,35.93315300531685,3.3356269996147603,32.59752600570209,0.0,0.00031100353226065636,0.0,0.0,0.0,0.0,3.3218259923160076,1,0.875,0.89375,0.91625
4,CrackIVF,16,48,16,100,100,10,42,99999,540.2107290283311,33.64032501121983,3.2686170015949756,30.371708009624854,0.0,0.00031999661587178707,0.0,0.0,0.0,0.0,3.2562070118729025,1,0.9375,0.96875,0.94625
5,CrackIVF,16,64,16,100,100,10,42,99999,575.933451007586,35.72272197925486,3.1263059936463833,32.59641598560847,0.0,0.00030899536795914173,0.0,0.0,0.0,0.0,3.1170369766186923,1,1.0,0.95,0.929375
6,CrackIVF,16,80,16,100,100,10,42,99999,617.1534589957446,41.22000798815861,3.1468080123886466,38.07319997576997,0.0,0.000300002284348011,0.0,0.0,0.0,0.0,3.135296981781721,1,0.875,0.94375,0.91875
7,CrackIVF,16,96,16,100,100,10,42,99999,660.7242230093107,43.57076401356608,7.4730319902300835,36.09773202333599,0.0,0.0003500026650726795,0.0,0.0,0.0,0.0,7.454261998645961,1,0.875,0.95,0.905625
8,CrackIVF,16,112,16,100,100,10,42,99999,699.1406629967969,38.41643998748623,3.117726999334991,35.29871298815124,0.0,0.00033000833354890347,0.0,0.0,0.0,0.0,3.1041470065247267,1,1.0,0.9375,0.904375
9,CrackIVF,16,128,16,100,100,10,42,99999,738.5713620169554,39.4306990201585,3.1480770267080516,36.28262199345045,0.0,0.00033000833354890347,0.0,0.0,0.0,0.0,3.138256986858323,1,1.0,0.90625,0.903125
10,CrackIVF,16,144,16,100,100,10,42,99999,778.9613100176211,40.389948000665754,3.0523670138791203,37.337580986786634,0.0,0.00033000833354890347,0.0,0.0,0.0,0.0,3.045986988581717,1,0.9375,0.95625,0.9525
11,CrackIVF,16,160,16,100,100,10,42,99999,821.8786850047763,42.9173749871552,3.0952169909141958,39.822157996241,0.0,0.0002899905666708946,0.0,0.0,0.0,0.0,3.0856470111757517,1,1.0,0.9125,0.870625
12,CrackIVF,16,176,16,100,100,10,42,99999,862.7812520135194,40.90256700874306,3.036206995602697,37.866360013140365,0.0,0.0001500011421740055,0.0,0.0,0.0,0.0,3.032526990864426,1,1.0,0.94375,0.904375
13,CrackIVF,16,192,16,100,100,10,42,99999,902.9157510085497,40.1344989950303,3.0817869992461056,37.05271199578419,0.0,0.00013998942449688911,0.0,0.0,0.0,0.0,3.077116998611018,1,1.0,0.95625,0.936875
14,CrackIVF,16,208,16,100,100,10,42,99999,943.5915180074517,40.67576699890196,2.963386010378599,37.712380988523364,0.0,0.00014898250810801983,0.0,0.0,0.0,0.0,2.959377015940845,1,0.9375,0.94375,0.925625
15,CrackIVF,16,224,16,100,100,10,42,99999,984.0521959995385,40.46067799208686,3.112705977400765,37.34797201468609,0.0,0.0004099856596440077,0.0,0.0,0.0,0.0,3.1017870060168207,1,0.9375,0.9,0.88375
16,CrackIVF,16,240,16,100,100,10,42,99999,1023.8544949970674,39.80229899752885,2.9821879870723933,36.82011101045646,0.0,0.00044002081267535686,0.0,0.0,0.0,0.0,2.9777770105283707,1,0.9375,0.9375,0.924375
17,CrackIVF,16,256,16,100,100,10,42,99999,1064.7513419971801,40.89684700011276,3.0333370086736977,37.86350999143906,0.0,0.00031999661587178707,0.0,0.0,0.0,0.0,3.025796002475545,1,1.0,0.99375,0.95625
18,CrackIVF,16,272,16,100,100,10,42,99999,1109.403554990422,44.65221299324185,2.9756459989584982,41.67656699428335,0.0,0.00033102696761488914,0.0,0.0,0.0,0.0,2.9700659797526896,1,0.9375,0.9625,0.94125
